Date,Open,High,Low,Close,Volume,Adj Close
2008-01-29,40.009998,40.669998,39.43,40.209999,11961200,8.474838
2008-01-28,38.490002,39.849998,38.189999,39.709999,12452800,8.369456
2008-01-25,40.689999,40.700001,38.720001,39.25,14314800,8.272505
2008-01-24,37.59,39.689999,37.59,39.349998,19786400,8.293581
2008-01-23,36.639999,38.990002,36.16,38.77,16636000,8.171338
2008-01-22,35.700001,38.619999,35.00,37.93,18595200,7.994296
2008-01-18,38.099998,39.00,37.599998,38.02,17739200,8.013265
2008-01-17,38.720001,39.27,37.790001,38.66,22229600,8.148154
2008-01-16,38.900002,39.369999,37.599998,38.639999,16917600,8.143938
2008-01-15,39.450001,39.810001,38.560001,39.09,18412800,8.238782
2008-01-14,40.259998,41.00,39.790001,40.349998,14436000,8.504345
2008-01-11,41.139999,42.00,39.59,40.139999,27792400,8.460085
2008-01-10,41.59,42.959999,40.599998,42.84,21964800,9.029149
2008-01-09,42.00,43.00,41.75,42.84,9121200,9.029149
2008-01-08,44.25,44.25,41.700001,41.970001,12564400,8.845784
2008-01-07,41.540001,43.18,41.43,42.990002,14826000,9.060764
2008-01-04,43.00,43.25,41.419998,42.110001,10922400,8.875291
2008-01-03,44.400002,44.490002,43.610001,43.889999,10965200,9.250452
2008-01-02,45.360001,45.650002,44.080002,44.43,13100000,9.364265
2007-12-31,45.549999,45.650002,45.00,45.360001,6496800,9.560276
2007-12-28,46.00,46.419998,44.880001,45.549999,7043200,9.600321
2007-12-27,46.25,46.310001,45.490002,45.619999,10233200,9.615074
2007-12-26,46.099998,46.709999,45.779999,46.639999,4114000,9.830054
2007-12-24,45.860001,46.619999,45.66,46.310001,6081200,9.760502
2007-12-21,44.860001,45.400002,44.43,45.139999,8245200,9.513907
2007-12-20,43.209999,44.799999,43.189999,44.41,12802000,9.360049
2007-12-19,41.709999,42.610001,41.709999,42.099998,4991600,8.873183
2007-12-18,41.400002,42.150002,41.400002,42.029999,7881200,8.85843
2007-12-17,42.150002,42.389999,41.02,41.02,8851600,8.645558
2007-12-14,42.650002,42.830002,42.240002,42.59,4968400,8.976458
2007-12-13,43.580002,43.639999,42.360001,42.900002,9993600,9.041795
2007-12-12,44.849998,45.23,43.889999,43.970001,9403600,9.267313
2007-12-11,45.669998,45.740002,43.119999,43.740002,10786800,9.218838
2007-12-10,44.779999,45.75,44.169998,45.57,11851600,9.604536
2007-12-07,44.02,45.310001,44.02,44.77,15226400,9.435925
2007-12-06,42.669998,43.580002,42.610001,43.369999,8705200,9.140854
2007-12-05,42.16,42.970001,41.610001,42.939999,10454000,9.050225
2007-12-04,41.200001,41.990002,41.009998,41.77,8899200,8.803631
2007-12-03,42.32,42.400002,41.50,41.650002,7157600,8.77834
2007-11-30,42.299999,42.43,41.50,42.150002,13468800,8.883722
2007-11-29,41.41,41.549999,40.75,41.240002,12610400,8.691926
2007-11-28,40.049999,42.150002,40.049999,41.549999,15321200,8.757263
2007-11-27,39.060001,40.330002,38.860001,39.650002,15918000,8.356811
2007-11-26,39.50,39.689999,38.599998,38.66,8596000,8.148154
2007-11-23,38.889999,39.630001,38.889999,39.099998,7598000,8.24089
2007-11-21,39.459999,39.889999,38.66,38.66,10902800,8.148154
2007-11-20,41.00,41.25,39.490002,40.130001,15282400,8.457978
2007-11-19,41.810001,41.91,41.00,41.110001,9172400,8.664527
2007-11-16,41.529999,42.23,41.189999,42.150002,7711600,8.883722
2007-11-15,41.509998,42.00,41.080002,41.240002,10444800,8.691926
2007-11-14,43.549999,43.830002,42.099998,42.23,10142400,8.900583
2007-11-13,41.400002,42.939999,41.23,42.919998,12904000,9.04601
2007-11-12,42.00,42.009998,40.009998,40.049999,17504000,8.441116
2007-11-09,41.540001,42.599998,41.540001,42.009998,9708800,8.854214
2007-11-08,45.099998,45.330002,41.919998,42.380001,21394000,8.932198
2007-11-07,44.700001,45.77,44.59,44.98,14748400,9.480185
2007-11-06,47.299999,47.560001,44.700001,45.450001,30761200,9.579245
2007-11-05,49.419998,49.790001,47.049999,48.82,12614400,10.289521
2007-11-02,51.080002,51.25,49.98,50.619999,8471200,10.668896
2007-11-01,50.23,51.07,49.919998,49.919998,7317600,10.521361
2007-10-31,50.799999,51.00,50.09,50.939999,7540400,10.736341
2007-10-30,50.779999,50.939999,49.599998,50.57,5785200,10.658358
2007-10-29,49.48,51.259998,49.48,50.950001,10596000,10.738449
2007-10-26,49.709999,49.709999,48.439999,49.220001,7166800,10.373827
2007-10-25,48.75,49.459999,48.299999,48.580002,8867200,10.238938
2007-10-24,49.91,50.07,48.119999,48.439999,12147200,10.20943
2007-10-23,49.790001,50.990002,49.75,50.490002,7861600,10.641498
2007-10-22,48.73,49.959999,48.099998,49.650002,8836800,10.464455
2007-10-19,49.59,50.450001,48.619999,48.720001,13547600,10.268444
2007-10-18,49.299999,49.970001,48.830002,49.50,9400000,10.43284
2007-10-17,50.080002,50.50,48.82,49.389999,19679600,10.409656
2007-10-16,49.299999,49.50,46.59,47.400002,34283200,9.990235
2007-10-15,51.599998,51.799999,50.00,50.419998,10833600,10.594497
2007-10-12,50.889999,51.779999,50.48,51.689999,14321200,10.861356
2007-10-11,52.849998,52.900002,51.279999,51.779999,33027600,10.880267
2007-10-10,55.189999,55.799999,54.290001,55.290001,16540400,11.617806
2007-10-09,53.200001,54.34,53.00,53.970001,10162800,11.340441
2007-10-08,52.25,52.490002,51.57,52.48,4910400,11.027354
2007-10-05,51.52,53.110001,51.080002,52.43,8526800,11.016848
2007-10-04,51.00,51.369999,50.650002,51.049999,6005600,10.726876
2007-10-03,51.02,51.50,50.150002,50.630001,5450800,10.638624
2007-10-02,51.50,51.52,50.599998,50.889999,6664400,10.693256
2007-10-01,48.400002,50.75,48.400002,50.529999,8586400,10.617611
2007-09-28,48.790001,48.959999,48.07,48.389999,6776400,10.167944
2007-09-27,49.110001,49.349998,47.950001,48.580002,9283200,10.207868
2007-09-26,47.00,47.50,46.98,47.299999,8839600,9.938907
2007-09-25,45.91,46.869999,45.740002,46.209999,6353200,9.709871
2007-09-24,46.75,47.150002,45.630001,45.970001,10246400,9.659442
2007-09-21,47.310001,47.689999,46.610001,46.619999,9399600,9.796022
2007-09-20,48.16,48.48,46.400002,47.02,17094400,9.880073
2007-09-19,49.860001,49.860001,49.029999,49.279999,8198800,10.354955
2007-09-18,47.18,50.200001,46.599998,49.50,12934000,10.401182
2007-09-17,47.00,47.279999,46.50,46.970001,4168400,9.869567
2007-09-14,47.110001,47.27,46.59,47.209999,6396800,9.919996
2007-09-13,47.23,47.790001,46.779999,47.630001,5836000,10.008249
2007-09-12,46.98,47.380001,46.25,47.009998,5402400,9.877971
2007-09-11,47.049999,47.450001,46.290001,46.700001,8672800,9.812833
2007-09-10,47.93,48.259998,46.66,46.849998,6630000,9.844351
2007-09-07,48.27,48.490002,47.41,47.720001,7066400,10.02716
2007-09-06,48.299999,49.240002,48.119999,49.02,5775200,10.300322
2007-09-05,48.450001,48.509998,47.59,47.880001,6042400,10.06078
2007-09-04,48.130001,48.799999,47.330002,48.619999,6323200,10.216272
2007-08-31,47.25,48.16,47.00,47.709999,7848400,10.025059
2007-08-30,46.740002,47.139999,46.110001,46.439999,4972800,9.7582
2007-08-29,46.23,47.299999,45.830002,47.00,8086400,9.87587
2007-08-28,47.00,47.00,44.77,45.16,9362000,9.48924
2007-08-27,47.00,47.25,46.189999,46.669998,4760000,9.806528
2007-08-24,45.950001,47.049999,45.709999,47.02,6374400,9.880073
2007-08-23,46.50,46.889999,45.57,45.990002,5320000,9.663644
2007-08-22,45.25,46.459999,45.049999,45.970001,12703200,9.659442
2007-08-21,45.700001,45.990002,44.00,44.50,16772800,9.350558
2007-08-20,46.599998,46.849998,45.759998,46.610001,5267600,9.793921
2007-08-17,46.459999,47.529999,44.799999,47.130001,13642800,9.903187
2007-08-16,46.169998,47.00,44.549999,45.799999,12228400,9.62372
2007-08-15,47.509998,48.799999,46.32,46.68,7000800,9.80863
2007-08-14,49.50,50.130001,48.110001,48.150002,5398400,10.117514
2007-08-13,49.669998,49.970001,49.25,49.50,4723600,10.401182
2007-08-10,49.00,49.490002,48.150002,49.00,12222400,10.29612
2007-08-09,49.330002,51.369999,49.119999,49.299999,8985600,10.359157
2007-08-08,50.00,51.50,49.799999,51.27,15435600,10.773103
2007-08-07,48.400002,48.860001,47.740002,48.529999,8326000,10.197361
2007-08-06,48.32,48.380001,47.389999,48.240002,9190000,10.136425
2007-08-03,49.349998,49.59,47.91,47.959999,5938000,10.07759
2007-08-02,49.82,50.029999,49.259998,49.48,6658400,10.39698
2007-08-01,49.330002,49.610001,47.860001,49.18,12242000,10.333942
2007-07-31,51.099998,51.939999,49.380001,49.599998,10365200,10.422194
2007-07-30,50.41,51.189999,50.040001,50.700001,7280400,10.653332
2007-07-27,50.900002,50.900002,49.700001,50.509998,10459200,10.613408
2007-07-26,52.00,52.330002,50.02,50.900002,14467200,10.695357
2007-07-25,52.50,53.060001,51.599998,52.040001,7480800,10.9349
