Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
04-01-2010,56.0200,56.9000,56.0100,56.7600,0,0,1430400
05-01-2010,56.7000,57.0000,56.3900,56.9800,0,0,1022700
06-01-2010,56.5800,56.5800,55.7600,56.1100,0,0,1477700
07-01-2010,55.0800,55.1700,54.2200,54.4000,0,0,2546800
08-01-2010,53.7700,54.8500,53.5500,54.5400,0,0,1443900
11-01-2010,54.6900,55.0000,54.0600,54.8300,0,0,1874900
12-01-2010,57.7500,58.6400,57.3500,57.6500,0,0,4327900
13-01-2010,58.5700,59.1300,57.9400,58.5600,0,0,1811800
14-01-2010,58.4400,58.9800,58.3800,58.7500,0,0,1345700
15-01-2010,58.5700,58.7500,57.5100,57.9400,0,0,1755300
19-01-2010,57.9000,58.6300,57.8400,58.5200,0,0,1007400
20-01-2010,57.8800,57.9900,56.6600,57.1000,0,0,1636500
21-01-2010,57.0000,57.5700,55.3900,55.8500,0,0,2043200
22-01-2010,55.8700,55.9200,54.1000,54.1100,0,0,1969600
25-01-2010,54.6500,55.1000,54.3400,54.5000,0,0,1367000
26-01-2010,54.2500,54.9100,53.7500,54.0600,0,0,1306700
27-01-2010,53.6700,54.7400,53.6500,54.4300,0,0,1619600
28-01-2010,54.6000,54.6200,52.2100,52.3400,0,0,2822000
29-01-2010,53.4600,53.6200,51.6100,51.9100,0,0,2423000
01-02-2010,52.2200,52.9100,52.0300,52.8600,0,0,1227500
02-02-2010,52.7900,53.1000,52.1400,53.0700,0,0,1241800
03-02-2010,53.1000,53.4200,52.9100,53.2000,0,0,1654500
04-02-2010,52.3400,52.6000,50.6400,50.6900,0,0,2463900
05-02-2010,50.6400,51.1600,49.5500,50.9300,0,0,2634500
08-02-2010,51.2100,51.8700,50.8100,51.1200,0,0,1835900
09-02-2010,52.6000,53.6000,52.3000,53.2600,0,0,2562500
10-02-2010,53.1500,53.6000,52.4900,53.1100,0,0,1680200
11-02-2010,53.2000,54.3100,53.1400,54.2700,0,0,1783000
12-02-2010,53.7000,54.3000,53.5200,54.0300,0,0,1882200
16-02-2010,54.8300,55.5300,54.6100,55.4900,0,0,1469100
17-02-2010,54.9600,55.4000,54.8700,55.4000,0,0,1435400
18-02-2010,55.0300,55.9200,55.0200,55.8300,0,0,1496500
19-02-2010,55.6000,56.2100,55.4000,55.9900,0,0,1596500
22-02-2010,56.1300,56.3300,55.6500,55.9200,0,0,1164500
23-02-2010,55.9600,56.2900,55.2600,55.5200,0,0,1279400
24-02-2010,55.6800,56.5700,55.6800,56.4700,0,0,1350100
25-02-2010,55.9000,56.8000,55.7700,56.7900,0,0,1592800
